Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Broad money growth (annual %),FM.LBL.BMNY.ZG,Cote d'Ivoire,CIV,21.1007351049792,18.7449777034031,8.98298280676062,3.32639551187775,13.6134724906049
Broad money growth (annual %),FM.LBL.BMNY.ZG,Croatia,HRV,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Cuba,CUB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Curacao,CUW,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Cyprus,CYP,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Czechia,CZE,9.95628524375376,6.76941104340941,6.10585436585901,9.73024515792234,7.35567260431448
Broad money growth (annual %),FM.LBL.BMNY.ZG,Denmark,DNK,9.83954459835281,-1.04652285023299,9.82498632297056,4.8138565827062,1.41199738087997
Broad money growth (annual %),FM.LBL.BMNY.ZG,Djibouti,DJI,19.379237787864,5.29558051534839,-1.68907589026452,7.67589368499659,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Dominica,DMA,-11.760051050292,1.83088088230407,-1.25656217166176,-0.449569901802602,3.31414620707533
Broad money growth (annual %),FM.LBL.BMNY.ZG,Dominican Republic,DOM,21.7508363792943,13.7042096284029,5.56820715991669,14.482607305691,11.2850988808036
Broad money growth (annual %),FM.LBL.BMNY.ZG,Ecuador,ECU,9.95834870726081,12.6046528073998,10.1204247321074,5.21558916754545,12.4437691449418
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Egypt, Arab Rep.",EGY,19.7057863957347,18.3339089698408,27.1369749604278,19.9230710751383,31.0763084593873
Broad money growth (annual %),FM.LBL.BMNY.ZG,El Salvador,SLV,8.87235395107724,2.25799085747399,4.6496099734149,8.88359392512043,3.31056266974964
Broad money growth (annual %),FM.LBL.BMNY.ZG,Equatorial Guinea,GNQ,-5.06024096385542,-0.634517766497462,21.9841634738186,8.72556368935942,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Eritrea,ERI,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Estonia,EST,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Eswatini,SWZ,15.44578650851,0.27339849476271,3.62127259285027,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Ethiopia,ETH,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Faroe Islands,FRO,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Fiji,FJI,0.985935315732768,11.4211704340535,5.08067211757035,8.75673684503384,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Finland,FIN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,France,FRA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,French Polynesia,PYF,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Gabon,GAB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Gambia, The",GMB,22.5080146369833,21.7399839252029,7.73723811461926,9.26685101463361,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Georgia,GEO,24.6080157505345,11.4110987014637,11.0371862631102,14.9283244195139,14.4902039847143
Broad money growth (annual %),FM.LBL.BMNY.ZG,Germany,DEU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Ghana,GHA,28.3611516144566,21.3034532185182,32.0270997817716,37.4107089233848,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Gibraltar,GIB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Greece,GRC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Greenland,GRL,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Grenada,GRD,-1.20666486809981,8.49567505876393,9.88630030468946,1.361279609864,8.43880326089634
Broad money growth (annual %),FM.LBL.BMNY.ZG,Guam,GUM,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Guatemala,GTM,18.0658483465903,8.02431661031368,7.008374832993,6.05939459972491,8.2123659538628
Broad money growth (annual %),FM.LBL.BMNY.ZG,Guinea,GIN,22.7986313167266,8.66652584059736,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Guinea-Bissau,GNB,9.09282091290148,20.8935240576511,3.50619469539229,-1.09571560543555,6.2326274433492
Broad money growth (annual %),FM.LBL.BMNY.ZG,Guyana,GUY,14.50249374384,13.7707621436391,15.4975256440201,22.0858566066482,22.5230888015076
Broad money growth (annual %),FM.LBL.BMNY.ZG,Haiti,HTI,4.22344437635192,35.4931594110694,31.522481918824,-9.64122301791283,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Honduras,HND,18.9203749679032,9.53575119828432,12.3997740910592,10.9680819713755,9.70544148666971
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Hong Kong SAR, China",HKG,6.03556177466453,3.19733962828616,3.26959719122442,3.87224458935109,6.99616359629291
Broad money growth (annual %),FM.LBL.BMNY.ZG,Hungary,HUN,21.0901442114129,18.4989667582386,8.45817898973613,3.61798534304817,9.37407715241209
Broad money growth (annual %),FM.LBL.BMNY.ZG,Iceland,ISL,7.36536446591488,10.8672085465442,8.86771419409841,8.32048338318917,11.6865879655103
Broad money growth (annual %),FM.LBL.BMNY.ZG,India,IND,12.4791379043168,11.2971056705459,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Indonesia,IDN,12.533660872002,13.9664354665972,8.35491255424404,3.50032752856581,4.75950395133223
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Iran, Islamic Rep.",IRN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Iraq,IRQ,15.9173902884236,16.6627815658499,20.3061051345808,7.5370802876684,-3.75654435122602
Broad money growth (annual %),FM.LBL.BMNY.ZG,Ireland,IRL,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Isle of Man,IMN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Israel,ISR,22.0836894024404,15.499485141882,5.80295596193097,4.64119785866741,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Italy,ITA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Jamaica,JAM,18.4761230018712,13.4734135985389,8.52108911828473,11.85848844766,8.08770230065611
Broad money growth (annual %),FM.LBL.BMNY.ZG,Japan,JPN,7.35197437022943,2.94515782233003,2.26899392946014,2.15894029260776,0.135080290663149
Broad money growth (annual %),FM.LBL.BMNY.ZG,Jordan,JOR,5.73527582553463,7.03569292231946,5.37842889123464,2.08648850573889,6.09455816362011
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kazakhstan,KAZ,16.8638143050986,20.7944085922016,13.9427338944718,11.6795618517392,19.2118258063417
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kenya,KEN,13.2732844936515,6.21881571634947,7.52712261006402,19.8736767831777,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kiribati,KIR,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Korea, Rep.",KOR,9.82376218361547,12.9335375506965,4.00000977288601,3.8932411347225,6.55140863593743
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kosovo,XKX,15.3158613334907,11.982400607118,11.6781523206179,11.275937582862,12.4146823115015
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kuwait,KWT,-7.34957156629614,3.79278681727044,6.45275483009101,1.00812084910375,4.26151157499088
Broad money growth (annual %),FM.LBL.BMNY.ZG,Kyrgyz Republic,KGZ,23.8805918338776,19.1167360707711,30.5917038421641,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Lao PDR,LAO,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Latvia,LVA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Lebanon,LBN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Lesotho,LSO,17.1188280297078,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Liberia,LBR,2.40361281526269,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Libya,LBY,15.1802009417618,-20.2637679595475,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Liechtenstein,LIE,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Lithuania,LTU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Luxembourg,LUX,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Macao SAR, China",MAC,0.703661849387327,-0.69592945327697,4.38820009428687,1.09638172541453,7.83609099304374
Broad money growth (annual %),FM.LBL.BMNY.ZG,Madagascar,MDG,11.0483857928981,10.9393963176884,13.7441824282863,8.2270422160532,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Malawi,MWI,16.7275001409348,30.0415309688778,38.7993756372287,32.2340911811314,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Malaysia,MYS,4.59324770584525,5.55903409397078,3.99701491521236,5.83145874962702,3.27564908161625
Broad money growth (annual %),FM.LBL.BMNY.ZG,Maldives,MDV,14.1923749544135,26.1851119380587,6.03778693061646,6.98328227162328,-0.072415420964065
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mali,MLI,12.2607920919744,36.4125142854465,10.720510250541,-1.12911768488397,1.75382689605524
Broad money growth (annual %),FM.LBL.BMNY.ZG,Malta,MLT,..,..,..,..,..
